iter	Passed	Remaining
664	1180	594
665	1181	592
666	1182	590
667	1183	588
668	1184	585
669	1184	583
670	1185	581
671	1186	579
672	1187	576
673	1188	574
674	1188	572
675	1189	570
676	1190	567
677	1191	565
678	1209	571
679	1209	569
680	1210	567
681	1211	564
682	1212	562
683	1213	560
684	1214	558
685	1225	561
686	1226	558
687	1227	556
688	1228	554
689	1229	552
690	1229	550
691	1230	547
692	1231	545
693	1232	543
694	1233	541
695	1233	538
696	1234	536
697	1235	534
698	1236	532
699	1237	530
700	1238	528
701	1238	525
702	1239	523
703	1240	521
704	1241	519
705	1242	517
706	1243	515
707	1244	513
708	1245	511
709	1246	509
710	1247	506
711	1247	504
712	1248	502
713	1249	500
714	1250	498
715	1251	496
716	1251	494
717	1252	491
718	1253	489
719	1254	487
720	1254	485
721	1255	483
722	1256	481
723	1257	479
724	1258	477
725	1258	475
726	1259	472
727	1260	470
728	1265	470
729	1266	468
730	1266	466
731	1267	464
732	1268	461
733	1269	459
734	1269	457
735	1270	455
736	1271	453
737	1271	451
738	1272	449
739	1273	447
740	1274	445
741	1275	443
742	1281	443
743	1282	441
744	1283	439
745	1283	437
746	1284	435
747	1285	433
748	1286	431
749	1286	428
750	1287	426
751	1288	424
752	1289	422
753	1289	420
754	1290	418
755	1291	416
756	1292	414
757	1293	412
758	1293	410
759	1294	40759	1209	381
760	1210	380
761	1215	379
762	1216	377
763	1217	376
764	1218	374
765	1219	372
766	1219	370
767	1220	368
768	1221	366
769	1222	365
770	1223	363
771	1223	361
772	1224	359
773	1225	357
774	1225	355
775	1226	354
776	1227	352
777	1228	350
778	1229	348
779	1229	346
780	1230	345
781	1231	343
782	1232	341
783	1232	339
784	1233	337
785	1234	336
786	1235	334
787	1235	332
788	1236	330
789	1237	328
790	1237	327
791	1245	327
792	1246	325
793	1247	323
794	1248	321
795	1249	320
796	1253	319
797	1254	317
798	1255	315
799	1256	314
800	1257	312
801	1257	310
802	1258	308
803	1259	307
804	1260	305
805	1262	303
806	1263	302
807	1265	300
808	1265	298
809	1266	297
810	1267	295
811	1268	293
812	1268	291
81814	1371	311
815	1372	309
816	1373	307
817	1373	305
818	1374	303
819	1375	301
820	1376	300
821	1377	298
822	1377	296
823	1378	294
824	1379	292
825	1380	290
826	1381	288
827	1382	287
828	1383	285
829	1383	283
830	1384	281
831	1392	281
832	1395	279
833	1397	278
834	1397	276
835	1399	274
836	1399	272
837	1409	272
838	1410	270
839	1411	268
840	1412	267
841	1413	265
842	1414	263
843	1415	261
844	1416	259
845	1416	257
846	1417	256
847	1418	254
848	1419	252
849	1420	250
850	1421	248
851	1421	246
852	1422	245
853	1423	243
854	1424	241
855	1425	239
856	1425	237
857	1426	236
858	1427	234
859	1428	232
860	1429	230
861	1430	228
862	1430	227
863	1431	225
864	1432	223
865	1432	221
866	1433	219
867	1434	218
868	1435	216
869	1435	214
870	1436	212
871	1437	210
872	1438	209
873	1438	207
874	1439	205
875	1439	203
876	1440	202
877	1441	200
878	1442	198
879	1442	196
880	1443	194
881	1444	193
882	1444	191
883	1445	189
884	1446	187
885	1446	186
886	1447	184
887	1448	182
888	1449	180
889	1449	179
890	1450	177
891	1451	175
892	1451	173
893	1452	172
894	1453	170
895	1454	168
896	1454	167
897	1455	165
898	1456	163
899	1456	161
900	1457	160
901	1458	158
902	1458	156
903	1459	155
904	1460	153
905	1461	151
906	1461	149
907	1462	148
908	1463	146
909	1464	144
910	1464	143
911	1465	141
912	1466	139
913	1466	138
914	1467	136
915	1468	134
916	1469	132
917	1469	131
918	1470	129
919	1471	127
920	1472	126
921	1472	124
922	1473	122
923	1473	121
924	1474	119
925	1475	117
926	1475	116
927	1476	114
928	1477	112
929	1478	111
930	1478	109
931	1479	107
932	1480	106
933	1480	104
934	1481	102
935	1482	101
936	1482	99
937	1483	98
938	1484	96
939	1485	94
940	1485	93
941	1486	91
942	1487	89
943	1487	88
944	1488	86
945	1489	85
946	1489	83
947	1490	81
948	1491	80
949	1491	78
950	1492	76
951	1493	75
952	1494	73
953	1495	72
954	1495	70
955	1496	68
956	1497	67
957	1498	65
958	1498	64
959	1499	62
960	1500	60
961	1501	59
962	1501	57
963	1502	56
964	1503	54
965	1503	52
966	1504	51
967	1505	49
968	1505	48
969	1506	46
970	1507	45
971	1507	43
972	1508	41
973	1508	40
974	1509	38
975	1510	37
976	1510	35
977	1511	33
978	1511	32
979	1512	30
980	1513	29
981	1513	27
982	1514	26
983	1515	24
984	1515	23
985	1516	21
986	1517	19
987	1517	18
988	1518	16
989	1519	15
990	1520	13
991	1521	12
992	1521	10
993	1522	9
994	1523	7
995	1523	6
996	1524	4
997	1525	3
998	1525	1
999	1526	0
15	0
